Country,Date,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,People Fully Vaccinated Per Hundred
Norway,2021-08,3502.1300000000006,2145.94,1355.6200000000001
Norway,2021-09,4147.67,2220.7000000000003,1923.48
Norway,2021-10,4527.56,2383.9600000000005,2110.18
Norway,2021-11,4579.349999999999,2323.8199999999997,2083.8400000000006
Norway,2021-12,5296.1,2423.6299999999997,2211.0400000000004
Norway,2022-01,5951.199999999999,2441.4299999999994,2248.07
Norway,2022-02,5723.320000000001,2215.9600000000005,2055.7299999999996
Norway,2022-03,5765.9,2218.4700000000003,2061.750000000001
Poland,2020-12,0.26,0.26,0
Poland,2021-01,41.35,37.79,3.5600000000000005
Poland,2021-02,133.18,91.85,41.379999999999995
Poland,2021-03,302.21999999999997,196.55,105.66999999999999
Poland,2021-04,453.64,331.23999999999995,122.57999999999998
Poland,2021-05,1158.2400000000002,832.35,347.40999999999997
Poland,2021-06,1855.5,1155.02,759.67
Poland,2021-07,2302.68,1261.2300000000002,1123.58
Poland,2021-08,2439.9800000000005,1297.52,1252.4
Poland,2021-09,2435.28,1294.57,1266.6999999999998
Poland,2021-10,1925.29,1007.7200000000001,992.3800000000001
Poland,2021-11,2654.73,1356.5099999999995,1334.39
Poland,2021-12,3199.45,1406.6299999999999,1483.0899999999997
Poland,2022-01,3658.96,1630.53,1585.9499999999998
Poland,2022-02,3624.2400000000002,1544.0199999999998,1513.6900000000003
Poland,2022-03,3266.6600000000008,1372.7700000000002,1356.3599999999994
Portugal,2020-12,0.95,0.95,0
Portugal,2021-01,46.4,31.9,2.67
Portugal,2021-02,163.26000000000002,110.26000000000002,53.18999999999999
Portugal,2021-03,401.1399999999999,278.77,123.09000000000002
Portugal,2021-04,743.72,538.08,206.90000000000003
Portugal,2021-05,1406.13,992.0999999999999,425.50999999999993
Portugal,2021-06,2042.7300000000005,1327.78,787.2600000000001
Portugal,2021-07,2508.0000000000005,1495.3799999999999,1158.1299999999999
Portugal,2021-08,4037.15,2322.71,2081.38
Portugal,2021-09,2729.85,1564.01,1448.97
Portugal,2021-10,635.28,353.84,346.5
Portugal,2021-11,2333.6200000000003,356.77,439.5
Portugal,2021-12,5644.24,364.1,2757.75
Portugal,2022-01,6215.61,374.5,2792.3799999999997
Portugal,2022-02,6162.370000000001,379.20000000000005,2556.01
Portugal,2022-03,2251.98,950.3499999999998,925.5200000000001
Romania,2020-12,0.11,0.11,0
Romania,2021-01,43.53000000000001,40.64,2.9
Romania,2021-02,166.08999999999997,106.50999999999998,59.58999999999999
Romania,2021-03,369.06999999999994,244.61000000000007,124.45999999999998
Romania,2021-04,641.7600000000001,401.7200000000001,240.07999999999998
Romania,2021-05,1076.3999999999999,626.3,456.7200000000001
Romania,2021-06,1340.5500000000002,714.8700000000001,660.4
Romania,2021-07,1491.2900000000004,788.36,763.7400000000001
Romania,2021-08,1555.86,831.1399999999999,811.28
Romania,2021-09,1557.22,753.9599999999999,822.46
Romania,2021-10,1826.5100000000002,0,928.1900000000002
Romania,2021-11,2179.11,0,1084.1899999999998
Romania,2021-12,2506.47,0,1243.1499999999999
Romania,2022-01,2619.22,0,1281.9499999999998
Romania,2022-02,2427.9600000000005,0,1174.9100000000003
Romania,2022-03,2359.61,42.67,1139.96
Slovakia,2021-01,10.290000000000001,9.450000000000001,0.83
Slovakia,2021-02,30.56,21.8,8.77
Slovakia,2021-03,61.89999999999999,43.64,18.26
Slovakia,2021-04,102.12,72.73,29.38
Slovakia,2021-05,212.81,141.26,71.53
Slovakia,2021-06,251.04000000000002,144.39999999999998,106.69999999999999
Slovakia,2021-07,303.13,161.86,143.05
Slovakia,2021-08,413.86,215.7,203.30999999999997
Slovakia,2021-09,345.59,178.8,172.53
Slovakia,2021-10,447.17,229.35999999999999,222.75
Slovakia,2021-11,394.87,192.92999999999998,184.65
Slovakia,2021-12,446.82000000000005,200.79,191.58999999999997
Slovakia,2022-01,621.86,256.41,248.08
Slovakia,2022-02,515.12,206.76000000000002,202.14000000000001
Slovakia,2022-03,517.39,206.94000000000003,202.82000000000002
Slovenia,2020-12,2.13,2.13,0
Slovenia,2021-01,69.60999999999997,60.17000000000001,9.450000000000001
Slovenia,2021-02,173.27000000000004,108.68999999999998,64.64
Slovenia,2021-03,405.9999999999999,272.21999999999997,133.85999999999999
Slovenia,2021-04,731.9199999999998,518.78,213.28000000000006
Slovenia,2021-05,1277.6999999999998,837.1999999999999,455.41999999999996
Slovenia,2021-06,1904.2099999999998,1133.97,827.9900000000001
Slovenia,2021-07,2392.7000000000003,1325.8400000000004,1162.3799999999997
Slovenia,2021-08,2656.429999999999,1469.4199999999998,1323.7799999999997
Slovenia,2021-09,2838.4599999999996,1581.94,1418.31
Slovenia,2021-10,3220.0899999999992,1757.5400000000006,1622.4399999999998
Slovenia,2021-11,3440.2299999999996,1749.17,1633.66
Slovenia,2021-12,3958.9600000000005,1852.1000000000001,1749.69
Slovenia,2022-01,4256.61,1874.37,1791.2700000000002
Slovenia,2022-02,3970.9700000000003,1701.1799999999996,1637.5699999999993
Slovenia,2022-03,4144.119999999999,1763.8599999999994,1701.2000000000003
Spain,2021-01,36.669999999999995,33.84,2.8400000000000003
Spain,2021-02,112.39999999999998,70.44999999999999,41.95
Spain,2021-03,260.08000000000004,176.52999999999997,83.57
Spain,2021-04,570.04,408.49,162.09
Spain,2021-05,1046.73,719.4999999999999,339.15999999999997
Spain,2021-06,1632.23,1043.4799999999998,640.9200000000001
Spain,2021-07,2249.2499999999995,1304.74,1042.0100000000002
Spain,2021-08,3033.48,1705.4400000000003,1485.72
Spain,2021-09,3238.09,1755.38,1674.01
Spain,2021-10,3195.2,1702.4899999999998,1665.54
Spain,2021-11,3182.96,1634.27,1604.2600000000002
Spain,2021-12,2058.27,1497.83,1454.29
Spain,2022-01,3923.2999999999997,1817.2100000000003,1714.8
Spain,2022-02,3922.680000000001,1578.81,1651.7199999999998
Spain,2022-03,1195.6499999999999,527.49,507.4
Sweden,2021-01,7.15,5.94,0.39
Sweden,2021-02,25.47,16.03,7.299999999999999
Sweden,2021-03,53.78,35.379999999999995,15.329999999999998
Sweden,2021-04,99.73,70.2,25.740000000000002
Sweden,2021-05,221.13,162.48,53.38
Sweden,2021-06,278.08,174.39,99.18
Sweden,2021-07,379.87,228.41000000000003,146.82999999999998
Sweden,2021-08,575.74,325.90999999999997,243.97999999999996
Sweden,2021-09,528.29,275.55,247.76000000000002
Sweden,2021-10,702.02,355.82,333.14
Sweden,2021-11,603.71,293.49,275.59
Sweden,2021-12,671.01,300.34000000000003,286.08
Sweden,2022-01,912.13,380.27,365.64
Sweden,2022-02,796.25,306.47,297.38
Sweden,2022-03,1441.2,538.1,523.99
Switzerland,2020-12,0.26,0.26,0.0
Switzerland,2021-01,44.10999999999999,42.339999999999996,1.2
Switzerland,2021-02,186.12000000000003,143.65,40.519999999999996
Switzerland,2021-03,423.75999999999993,265.9200000000001,153.12
Switzerland,2021-04,724.2199999999999,454.22,263.4
Switzerland,2021-05,1383.85,889.8100000000001,491.21000000000004
Switzerland,2021-06,2209.3399999999997,1329.27,892.7999999999998
Switzerland,2021-07,2996.86,1627.8199999999997,1397.3000000000002
Switzerland,2021-08,3323.5699999999997,1733.34,1623.77
Switzerland,2021-09,3470.08,1832.17,1683.7700000000002
Switzerland,2021-10,3856.5499999999997,2016.1700000000003,1902.01
Switzerland,2021-11,3941.5099999999998,1999.4900000000002,1946.5299999999997
Switzerland,2021-12,4614.979999999999,2107.4799999999996,2058.1899999999996
Switzerland,2022-01,5235.5,2142.43,2093.55
Switzerland,2022-02,4975.149999999998,1951.3400000000004,1914.18
Switzerland,2022-03,5013.680000000001,1953.3399999999997,1924.2500000000002
Ukraine,2021-02,0.03,0.03,0
Ukraine,2021-03,6.5600000000000005,6.5600000000000005,0.0
Ukraine,2021-04,30.529999999999998,30.529999999999998,0.0
