Country,Date,Vaccine,Total Vaccinations
Croatia,2021-04,Moderna,513808
Croatia,2021-04,Oxford/AstraZeneca,1150939
Croatia,2021-04,Pfizer/BioNTech,2121717
Croatia,2021-05,Johnson&Johnson,32672
Croatia,2021-05,Moderna,739003
Croatia,2021-05,Oxford/AstraZeneca,1478958
Croatia,2021-05,Pfizer/BioNTech,3983935
Croatia,2021-06,Johnson&Johnson,77526
Croatia,2021-06,Moderna,1008818
Croatia,2021-06,Oxford/AstraZeneca,1863152
Croatia,2021-06,Pfizer/BioNTech,6291705
Croatia,2021-07,Johnson&Johnson,198241
Croatia,2021-07,Moderna,1488681
Croatia,2021-07,Oxford/AstraZeneca,2659667
Croatia,2021-07,Pfizer/BioNTech,10516103
Croatia,2021-08,Johnson&Johnson,258114
Croatia,2021-08,Moderna,1265062
Croatia,2021-08,Oxford/AstraZeneca,2230811
Croatia,2021-08,Pfizer/BioNTech,9277910
Croatia,2021-09,Johnson&Johnson,341028
Croatia,2021-09,Moderna,1304343
Croatia,2021-09,Oxford/AstraZeneca,2246889
Croatia,2021-09,Pfizer/BioNTech,9745922
Croatia,2021-10,Johnson&Johnson,550763
Croatia,2021-10,Moderna,1679853
Croatia,2021-10,Oxford/AstraZeneca,2822894
Croatia,2021-10,Pfizer/BioNTech,12817033
Croatia,2021-11,Johnson&Johnson,613482
Croatia,2021-11,Moderna,1469968
Croatia,2021-11,Oxford/AstraZeneca,2265982
Croatia,2021-11,Pfizer/BioNTech,11480519
Croatia,2021-12,Johnson&Johnson,931414
Croatia,2021-12,Moderna,2156485
Croatia,2021-12,Oxford/AstraZeneca,2837140
Croatia,2021-12,Pfizer/BioNTech,16745828
Croatia,2022-01,Johnson&Johnson,777937
Croatia,2022-01,Moderna,1953410
Croatia,2022-01,Oxford/AstraZeneca,2271019
Croatia,2022-01,Pfizer/BioNTech,14948171
Croatia,2022-02,Johnson&Johnson,796546
Croatia,2022-02,Moderna,2019275
Croatia,2022-02,Oxford/AstraZeneca,2271509
Croatia,2022-02,Pfizer/BioNTech,15531523
Croatia,2022-03,Johnson&Johnson,803729
Croatia,2022-03,Moderna,2033366
Croatia,2022-03,Oxford/AstraZeneca,1703692
Croatia,2022-03,Pfizer/BioNTech,15668545
Croatia,2022-03,Novavax,479
Cyprus,2021-01,Pfizer/BioNTech,47817
Cyprus,2021-01,Moderna,630
Cyprus,2021-02,Pfizer/BioNTech,174832
Cyprus,2021-02,Moderna,2113
Cyprus,2021-02,Oxford/AstraZeneca,24846
Cyprus,2021-03,Moderna,14104
Cyprus,2021-03,Oxford/AstraZeneca,159452
Cyprus,2021-03,Pfizer/BioNTech,316950
Cyprus,2021-04,Moderna,47874
Cyprus,2021-04,Oxford/AstraZeneca,341855
Cyprus,2021-04,Pfizer/BioNTech,675140
Cyprus,2021-04,Johnson&Johnson,1188
Cyprus,2021-05,Johnson&Johnson,13573
Cyprus,2021-05,Moderna,131637
Cyprus,2021-05,Oxford/AstraZeneca,529650
Cyprus,2021-05,Pfizer/BioNTech,1212013
Cyprus,2021-06,Moderna,236145
Cyprus,2021-06,Oxford/AstraZeneca,764553
Cyprus,2021-06,Pfizer/BioNTech,1833617
Cyprus,2021-06,Johnson&Johnson,33075
Cyprus,2021-07,Johnson&Johnson,80769
Cyprus,2021-07,Moderna,372875
Cyprus,2021-07,Oxford/AstraZeneca,1199297
Cyprus,2021-07,Pfizer/BioNTech,2909615
Cyprus,2021-08,Johnson&Johnson,76018
Cyprus,2021-08,Moderna,320418
Cyprus,2021-08,Oxford/AstraZeneca,1007453
Cyprus,2021-08,Pfizer/BioNTech,2739955
Cyprus,2021-09,Johnson&Johnson,80917
Cyprus,2021-09,Moderna,336705
Cyprus,2021-09,Oxford/AstraZeneca,1011787
Cyprus,2021-09,Pfizer/BioNTech,2950674
Cyprus,2021-10,Johnson&Johnson,104636
Cyprus,2021-10,Moderna,439230
Cyprus,2021-10,Oxford/AstraZeneca,1270931
Cyprus,2021-10,Pfizer/BioNTech,3945183
Cyprus,2021-11,Johnson&Johnson,85914
Cyprus,2021-11,Moderna,371947
Cyprus,2021-11,Oxford/AstraZeneca,1017482
Cyprus,2021-11,Pfizer/BioNTech,3380966
Cyprus,2021-12,Johnson&Johnson,123036
Cyprus,2021-12,Moderna,563248
Cyprus,2021-12,Oxford/AstraZeneca,1272324
Cyprus,2021-12,Pfizer/BioNTech,5064806
Cyprus,2022-01,Johnson&Johnson,110529
Cyprus,2022-01,Moderna,665015
Cyprus,2022-01,Oxford/AstraZeneca,1018033
Cyprus,2022-01,Pfizer/BioNTech,4486721
Cyprus,2022-02,Johnson&Johnson,117399
Cyprus,2022-02,Moderna,724226
Cyprus,2022-02,Oxford/AstraZeneca,1018088
Cyprus,2022-02,Pfizer/BioNTech,4671344
Cyprus,2022-03,Johnson&Johnson,89761
Cyprus,2022-03,Moderna,556466
Cyprus,2022-03,Oxford/AstraZeneca,763578
Cyprus,2022-03,Pfizer/BioNTech,3554939
Cyprus,2022-03,Novavax,59
Czechia,2020-12,Pfizer/BioNTech,34411
Czechia,2021-01,Moderna,94124
Czechia,2021-01,Pfizer/BioNTech,3954696
Czechia,2021-02,Moderna,663685
Czechia,2021-02,Pfizer/BioNTech,12673627
Czechia,2021-02,Oxford/AstraZeneca,192219
Czechia,2021-03,Moderna,3062868
Czechia,2021-03,Oxford/AstraZeneca,4490643
Czechia,2021-03,Pfizer/BioNTech,29852489
Czechia,2021-03,Johnson&Johnson,981
Czechia,2021-04,Johnson&Johnson,22695
Czechia,2021-04,Moderna,7668968
Czechia,2021-04,Oxford/AstraZeneca,9212514
Czechia,2021-04,Pfizer/BioNTech,55668268
Czechia,2021-05,Johnson&Johnson,735241
Czechia,2021-05,Moderna,12769266
Czechia,2021-05,Oxford/AstraZeneca,14167136
Czechia,2021-05,Pfizer/BioNTech,104465195
